Name,Desc,images
DARIKA D/K 80/01,"ร้าน DARIKA, รหัส D/K 80/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 80-01.jpg
DARIKA D/K 80/02,"ร้าน DARIKA, รหัส D/K 80/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 80-02.jpg
DARIKA D/K 80/03,"ร้าน DARIKA, รหัส D/K 80/03, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/เทา, เหมาะกับนำไปใช้ในห้องนอน",DK 80-03.jpg
DARIKA D/K 80/04,"ร้าน DARIKA, รหัส D/K 80/04, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาดำเข้ม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เทา/ดำ/เข้ม, เหมาะกับนำไปใช้ในห้องนอน",DK 80-04.jpg
DARIKA D/K 80/05,"ร้าน DARIKA, รหัส D/K 80/05, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาขาว, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 80-05.jpg
DARIKA D/K 80/06,"ร้าน DARIKA, รหัส D/K 80/06, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาอ่อน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 80-06.jpg
DARIKA D/K 80/07,"ร้าน DARIKA, รหัส D/K 80/07, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาฟ้า, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ขาว/น้ำเงิน/เทา, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 80-07.jpg
DARIKA D/K 80/08,"ร้าน DARIKA, รหัส D/K 80/08, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ เทาน้ำเงิน, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าลาย, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน ดำ, เหมาะกับนำไปใช้ในห้องนอน",DK 80-08.jpg
DARIKA D/K 81/01,"ร้าน DARIKA, รหัส D/K 81/01, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ ครีม, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 81-01.jpg
DARIKA D/K 81/02,"ร้าน DARIKA, รหัส D/K 81/02, ชนิดผ้า คือ ผ้าม่านทึบ, สีผ้า คือ กากี, การกันแสง คือ กันแสง 90-95%, ลายผ้า คือ ผ้าเรียบ, ความเงาของผ้า คือ ไม่เงา, หน้ากว้างผ้า คือ 280 CM, ส่วนผสม คือ POLYESTER 100%, ราคาต่อหลา คือ 360.0, เหมาะกับการแต่งห้องโทน เบจ/เอิร์ธโทน/ขาว, เหมาะกับนำไปใช้ในห้องนอน/ห้องรับแขก",DK 81-02.jpg
